=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
SA 02	Enterprise		Sysadmin Profile Creation		Enterprise Admin will create Sysadmin profile for a specific sub domain created in SA 01											MVP							Risk: Incorrect OCR extraction; large file size issues.				
SA 03	Enterprise		Sysadmin User and credentials Creation		Enterprise Admin will create Sysadmin user and credentials for a specific sysadmin profile created in SA 02	Sysadmin will receive a invitation mail and can set up a password from the link in the mail																					
			Login		Common login page for enterprise subdomain	Sysadmin have to configure System Configurations																					
	System Configuration	Company Member Administration Masters																									
SA 04	Admin	Company Member Administration																									
SA 05	Admin	Company Member Administration	Add User		These will/can be ASG Users as Company has yet to be created		Y	Y	N	N	N																
SA 06	Admin	Company Member Administration	User List				Y	Y																			
SA 07	Admin	Member Administration	Edit User				Y	Y																			
SA 08	Admin	Member Administration	Delete User																								
SA 09	Admin	Member Administration	Activate/Deactivate/Idle User				Y	Y																			
SA 10	Admin	Member Administration	Search/Filter/Sort User				Y	Y																			
SA 11	Admin	Member Administration	Login as User				Y	Y																			
SA 12	Admin	Member Administration	Activity Log				Y	Y																			
SA 13	Admin	Member Administration	Bulk User Operations				Y	Y																			
SA 14	Admin	Company Administration	Create Company				Y 	Y																			
SA 15	Admin	Company Administration	Create Sub domain URL																								
SA 16	Admin	Company Administration	Manage Company																								
SA 17	Admin	Company Administration	Company List																								
SA 18	Admin	Company Administration																									
SA 19	Admin	Company Administration																									
SA 20	Admin	Company Administration																									
	Portfolio																										
	Contract Details	List																									
	Contract Details	Summary																									
	Contract Details	Members/Contacts																									
	Contract Details	Forms																									
	Contract Details	Documents																									
	Contract Details	Work Flow																									
	Contract Details	Binders & Schedule																									
	Contract Details	Lease Logs																									
	Contract Abstract Info	Abstract Details	Contract Abstract Details																								
	Contract Abstract Info	Abstract Details	Co‑Tenancy 2 in																								
	Contract Abstract Info	Abstract Details	Real Estate Taxes																								
	Contract Abstract Info	Abstract Details	Funds & Expenses																								
	Contract Abstract Info	Abstract Details	Delivery Requirements																								
	Contract Abstract Info	Abstract Details	Common Area Maintainance																								
	Contract Abstract Info	Terms	Contract Term	Add Item, Save Changes, Delete Item, Import Data, Audit Log, Printable View, Save to Documents, Link	Purpose: Defines the core structure and classification of the specific lease period.																						
	Contract Abstract Info	Terms			Key Data Points:																						
	Contract Abstract Info	Terms			- Term Definition: Captures Term Number, Term Type (e.g., Initial, Renewal), and Term Status.																						
	Contract Abstract Info	Terms			- Space Metrics: Records Rentable Area and Area Unit (e.g., Square Feet).																						
	Contract Abstract Info	Terms			- Financial Reference: Includes Option Rent PSF (Per Square Foot).																						
	Contract Abstract Info	Terms			- Document Reference: Links specific clauses to the physical lease document (Document Name, Section, Page).																						
	Contract Abstract Info	Terms	Key Dates	(Same as above)	Purpose: Manages critical timelines, milestones, and notification windows associated with the contract term.																						
	Contract Abstract Info	Terms			Key Data Points:																						
	Contract Abstract Info	Terms			- Date Classification: Key Date Group, Type, and specific Action definitions.																						
	Contract Abstract Info	Terms			- Duration: Begin Date and End Date of the specific date logic.																						
	Contract Abstract Info	Terms			- Notice Management: Tracks Earliest/Last Notice Periods, Notice Begin/End Dates, and flags for "Notice Sent" or "Notice Received."																						
	Contract Abstract Info	Terms			- Actions: Tracks Action Dates and completion status ("Is Action Complete?").																						
	Contract Abstract Info	Terms			- Contingencies: Defines trigger events or contingencies linked to these dates.																						
	Contract Abstract Info	Terms	Key Date Notes	(Same as above)	Purpose: Provides a free-text area to capture qualitative details, specific instructions, or context regarding the dates that do not fit into the standard structured fields.																						
	Contract Abstract Info	Amendments	Listing and Detailed View	(Same as above)	View contract amendments list with details | Add/Edit/Delete  amendment row with classification and details with text description summarizing key changes and save | Attach supporting documents for the amendement | Use amendments in downstream processes  when configuring workflows or reporting. | Kick off Workflow routing for amendments | Amendment‑driven reporting updates 																						
	Contract Abstract Info	Covenants	Convenants Listing | Add/Edit items | Add/Edit ASC 842 fields | Add/Edit Key dates | Notes	(Same as above)	Covenants Listing – Grid showing all covenants on a contract (group, type, status, document/section/page) so users can quickly scan and select items to work on.​ | Add/Edit items – Form for creating or updating covenant headers, including group/type/status, document references, and abstracted covenant language, then saving back to the list.​ | Add/Edit ASC 842 fields – Section where users maintain accounting details (covenant amount, adjustment type, linked ASC 842/IFRS schedules, RVG amounts, allocation, currency) that feed lease‑accounting calculations.​ | Add/Edit Key dates – Controls for defining covenant dates (coverage period, notice window, ticklers, frequency, completion flags) which automatically create and update Key Date records and alerts.​ | Notes – Free‑text areas used to capture explanations, negotiation history, or special handling instructions that supplement the structured covenant and key‑date data.																						
	Contract Abstract Info	Key Dates	(Same as above)	(Same as above)	(Same as above)																						
	Contract Abstract Info	Responsibilities	(Same as above)	View responsibilities list | Add/edit responsibility line | Record section reference | Capture comments	Responsibilities list grid – Shows each maintenance category and identifies which party must maintain, repair, and replace it, with a reference to the lease section. | ​ | Add/Edit responsibility – User adds or selects a row, picks the maintenance category, assigns landlord/tenant/both for maintain/repair/replace from dropdowns, enters the section reference, and saves																						
	Contract Abstract Info	Insurance	(Same as above)	Add, Edit, delete insurance policy information of a contract	The Insurance tab stores insurance policies for a contract, with fields to capture: insurance group/type/category, policy number, policy dates, required/insured flags, certificate request/received dates, coverage limits (total and single‑occurrence) with currency, comments, responsible contact, and links to the related covenant, section, and amendment.																						
	Contract Abstract Info	Co‑Tenancy	(Same as above)	List View , Add, Edit,Delete Cotenancy items	Captures lease-specific co-tenancy requirements including opening/ongoing occupancy thresholds, required anchors/named tenants, rent reductions (e.g., 100% base rent/CAM), % sales in lieu, termination rights, frequency, notes, document/section/page references. | - Occupancy: Required % or # anchors/named tenants | - Remedies: Rent abatement/reduction terms, % sales cap/not-to-exceed | - Duration: Effective dates, cure periods | - Termination: Co-tenancy termination rights/dates																						
	Contract  Payment Info	Payment Details																									
	Contract  Payment Info	Recurring Expenses	Expense Setup																								
	Contract  Payment Info	Recurring Expenses	Vendor Allocations																								
	Contract  Payment Info	Recurring Expenses	Expense Schedule																								
	Contract  Payment Info	Recurring Expenses	Comments																								
	Contract  Payment Info	Recurring Expenses	Internal Account coding (tax)																								
	Contract  Payment Info	Alternate Rent	ASG Contract Alternate Rent List																								
	Contract  Payment Info	Alternate Rent	Alternate Rent Setup																								
	Contract  Payment Info	Alternate Rent	Recurring Expense/Rent																								
	Contract  Payment Info	Alternate Rent	Percentage Rent																								
	Contract  Payment Info	Alternate Rent	Notes																								
	Contract  Payment Info	Transactions	Payment Transcations																								
	Contract  Payment Info	Transactions	Internal Account coding (tax)																								
	Contract  Payment Info	Reciepts																									
	Contract  Payment Info	Recoveries																									
	Contract  Payment Info	Scheduled Offsets																									
	Contract  Payment Info	Allowances																									
	Contract  Payment Info	Security Deposit																									
	Contract  Payment Info	Percentage Rent																									
	Contract  Payment Info	Sales																									
	Contract  Accounting Info	Accounting Details																									
	Contract  Accounting Info	Capital Lease Test																									
	Contract  Accounting Info	Straight-Line Rent																									
	Contract  Accounting Info	Accounting Assumptions ASC 842																									
	Contract  Accounting Info	Accounting Assumptions IFRS 16																									
	Contract  Accounting Info	ASC 842 Test																									
	Contract  Accounting Info	ASC 842 Rent Schedule																									
	Contract  Accounting Info	IFRS 16 Rent Schedule																									
	Contract  Accrual Info	Accrual Details																									
	Contract  Accrual Info	Expense Accruals																									
	Contract  Accrual Info	Transactions																									
	Contract  Accrual Info	Percentage Rent Accruals																									
	Contract  Accrual Info	Percentage Rent Schedule																									
	Contract Reports	Contract Reports																									
	Equipment Details	Summary																									
	Equipment Details	Members/Contacts																									
	Equipment Details	Forms																									
	Equipment Details	Work Flow																									
	Equipment Details	Documents																									
	Equipment Abstract Info	Abstract Details																									
	Equipment Abstract Info	Terms																									
	Equipment Abstract Info	Amendments																									
	Equipment Abstract Info	Covenants																									
	Equipment Abstract Info	Key Dates																									
	Equipment Abstract Info	Responsibilities																									
	Equipment Abstract Info	Insurance																									
	Equipment Payment Info	Payment Details																									
	Equipment Payment Info	Recurring Payments																									
	Equipment Payment Info	Transactions																									
	Equipment Payment Info	Receipts																									
	Equipment Payment Info	Scheduled Offsets																									
	Equipment Payment Info	Allowances																									
	Equipment Payment Info	Security Deposit																									
	Equipment Accounting Info	Accounting Details																									
	Equipment Accounting Info	Straight-Line Rent																									
	Equipment Accounting Info	Accounting Assumptions																									
	Equipment Accounting Info	ASC 842 Test																									
	Equipment Accounting Info	ASC 842 Rent Schedule																									
	Equipment Accounting Info	IFRS 16 Rent Schedule																									
	Equipment Reports	Reports																									

##### SHEET: List of BRDs  #####
S.No.	BRD Title	Status											
1	Left Menu Navigation	Submitted											
2	Multi Tenant Single Login	Submitted											
3	Role Based Access Control	Submitted											
4	Manage Company Configurations	Submitted											
5	Login Journey	to submit today											
6	Search in Edge+	WIP											
7	Master Data Management	To Pick											
8	Workflow & Approval Management	To Pick											
9	Data Tools	To Pick											
10	Portfolio & Location Management	To Pick											
11	Contract - Abstract	To Pick											
12	Contract - Payment	To Pick											
13	Contract - Accounting	To Pick											
14	Page & Lists Layout	To Pick											
15	Report Capability	To Pick											
16	System Dashboards	To Pick											
17	Help & Guides	To Pick											
18	Data Migration	To Pick											
19	Rule Engine	To Pick											
Group	Module	Status	Link	ASG comments given in BRD	Comments resolution provided by Taazaa								
Platform Foundation & Access Control													
1	Multi-Tenant Single Login	Submitted	1 Multi Tenant Single Login BRD.docx	Y	Y								
2	Login Journey	Submitted	2 Login Signup BRD.docx	Y	Y								
3	Role-Based Access Control (RBAC)	Submitted	3 Role Based Access Control BRD.docx	Y	Y								
4	Manage Company Configurations	Submitted	4 Manage Company Configurations BRD.docx	Y	Y								
Navigation, Discovery & Usability													
5	Left Menu Navigation	Submitted	5 Left Navigation Menu BRD.docx	Y	Y								
6	Search in Edge+	Submitted	6 BRD Search Redesign.docx	Y	Y								
7	Help Support Tours	Submitted	7 Help Support Tours BRD.docx	Y	Y								
8	Dashboards & Home Experience	Submitted	8 Dashboards & Home Experience BRD.docx	Y	Y								
9	Page & Lists Layout	Submitted	9 Page & List Layout BRD.docx										
Master Data & Core Entities													
10	Master Data Management	Submitted	10 Masters Management BRD.docx	Y	Y								
11	Portfolio & Location Management	Submitted	11 Portfolio Management BRD.docx	Y	Y								
Contract Lifecycle (Core Domain)													
12	Contract – RE Abstract Details	Submitted	12 Contract RE Abstract Details BRD.docx	Y	Y								
13	Contract - Equipment	Submitted	13 Equipment Contracts BRD.docx	Y	Y								
14	Contract – Payment Information	Submitted	14 Contract Payment Information BRD.docx	Y	BRD restructuring in progress to accommodate feedback requests								
15	Modern Document Workflow	Submitted	15 Modern Document Workflow BRD.docx										
16	Contract – Accounting	Submitted	16 Contract & Equipment Accounting BRD.docx	Y	Y								
Workflow, Rules & Automation													
17	Workflow & Approval Management	Submitted	17 Workflows & Approvals Module BRD.docx	Y	Y								
Data Operations & System Intelligence													
18	Data Tools	Submitted	18 Data and PS Tools BRD.docx										
19	Report Capability	Submitted	19 Reporting Capability BRD.docx	Y									
20	Data Integration	Submitted	20 Data Integration BRD.docx	Y	Y								
New BRDs requested													
21	Percent Rent	Submitted	21 Percent Rent BRD 1 iteration.docx	Y	Y								
22	Allowances & Offsets	Submitted on 6 Mar	22 Allowances and Offsets BRD.docx										
	Data Migration												
	Rule Engine, System Monitoring & Audit* (to be included as a section in Relevant BRDs)												

##### SHEET: Pain points User Persona Wise #####
User Persona	Module	Feature / Pain Point	Description / User Statement	Priority	ASG Remarks	Taazaa Remarks	Explanation
SysAdmin	Audit & Compliance	Readable Logs	Audit tools are just raw links. User has to go look for logs manually in the table and infer on its own		DB 01.06.26 - we do not use Generate Enterprise Report File. We use the Audit Log to the best of our ability but a lot information is not provided in the log file.	ok modified to include audit logs to be readable and have required informations	
SysAdmin	Reporting & Analytics	Standardization with Runtime Flexibility	Restrict edit access to standard reports (like ASC 842) to prevent breakage, while allowing users to use "runtime filters" to view specific data. 	Blocker	DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	"Save As" Personal Reports	Users should be able to "Save As" a standard report to create a personal version without affecting the global standard. 	Critical	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	Report-to-Import Workflow	Ability to turn a report into an import template: export to Excel, modify data, and re-import to update the system. 	Critical	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	Scheduled & External Delivery	Schedule automated reports to be emailed to recipients (including non-users) or sent via encrypted SFTP for integrations.	Major	DB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	Multi-Tenancy / Global Management	There is no "Global Admin" view visible here. User has to log out and log in 21 times to see this view for each client.	Minor	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	Job Log Visibility	Blank Reports Still Sent" / Job Log Visibility:  There is a "Job Log" link under Company Administration. sysadmin checks this to see if scheduled jobs ran. It's a click-away list, not an at-a-glance status board.		DB 01.06.26 - Correct | JB Blank Reports sent I think would be priority: Minor, but I'm not sure if the Job Log issue would be a higher priority?		
SysAdmin	Reporting & Analytics	No Super-Admin Dashboard	Dawn must log into 21 separate instances to check work. No at-a-glance view of: pending requests, user activity, errors, exceptions, user access search/filter, client access	Critical	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	No Alert Aggregation	SysAdmin must manually check each firm's inbox daily. No "3 new user requests in J.Crew, 2 in Warby Parker" rollup.	Minor	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Reporting & Analytics	No Bulk Action Confirmation Dashboard	After bulk import, no preview of changes before execution. No "rollback" visibility.	Critical	JH, DB, JB 01.06.26 - Correct		
SysAdmin	Workflow Administration & Configuration	No Workflow Visualization	Workflows complex, no diagrams. Admin must memorize logic. New staff cannot self-service troubleshoot.	Minor	DB 01.06.26 - Correct		
SysAdmin	Support	No Categorized Support Ticket System	No categorization. Day manually tracks: access, login, workflow, data visibility, etc.				
SysAdmin	User Management	No Access Expiration Policies	Users deactivated but permissions might linger (if user attached to legacy workflows). No auto-revoke.		DB 01.06.26 - Incorrect, if a user is deactivated, they will no longer have access to anything within Lx. Anything created or assigned to the deactivated user must stay in the system with user's details.	ok, will accommodate these functionalities in BRD	
SysAdmin	System Config & Master Data	Security Documentation	Need to quickly generate documentation for password policies, user creations, and deactivations for auditors. 	Minor	DB 01.06.26 - Correct		
SysAdmin	System Config & Master Data	Firm Setup Efficiency	Need to set up new client firms quickly using reusable checklists and export/import capabilities for configurations.	Critical	JH, DB, JB 01.06.26 - Correct		
SysAdmin	System Config & Master Data	Granular & Custom Field Management	Create and label new data fields (text, dropdowns, etc.) and assign them to specific tables without impacting other clients' environments. 		DB 01.06.26 - Correct		
SysAdmin	System Config & Master Data	Centralized Configuration	Manage configuration changes across multiple firms centrally without logging into 21 separate instances.	Critical	JH, JB		
SysAdmin	System Config & Master Data	Module-Specific Roles	System must support unique job titles/functions (e.g., "General Contractor") for clients using specific modules (e.g., Projects) without cluttering others.				
SysAdmin	System Config & Master Data	Centralized User Control	Admin must retain sole control over user creation (no client tenant admins) to maintain SOC compliance.				
SysAdmin	System Config & Master Data	Client-Specific Role Management	Roles and permissions must be managed per client, as rules differ (e.g., some allow broad access, others restrict it). 				
SysAdmin	System Config & Master Data	Delegation	Need an "out of office" delegate feature so workflows (like user additions) do not stall when the admin is away. 	Minor			
SysAdmin	System Config & Master Data	Impersonation (Login As)	Ability to log in as a specific user to troubleshoot issues exactly as they see them.				
SysAdmin	System Config & Master Data	Visual Firm Indicators	Need clear visual indicators (logos, vanity URLs) to ensure certainty of which client environment is active. 				
SysAdmin	System Config & Master Data	Bulk Management	Ability to create, onboard, and deactivate users in bulk or at one place rather than one by one in 21 instances and at 3 places.Requirement to upload an Excel sheet with multiple usernames/roles to create users in bulk; mandatory for migrating full tenants. 				
SysAdmin	System Config & Master Data	Org Chart & Entity Propagation	Ability to add a user to an Org Chart and have the system automatically "process planned membership" to add them to all relevant entities/grids.				
SysAdmin	System Config & Master Data	"Replace and Switch"	Ability to find a specific user (e.g., Trinity) and bulk replace them with another user (e.g., Zoe) on all assigned entities and workflows.				
SysAdmin	System Config & Master Data	Automated Onboarding	System should automatically generate a welcome email with a password reset link upon account creation.	Critical	JH | JB question: is requiring new users to change their passwords a potential soc-compliance issue that would bump this up to "Blocker"? (Or is this more about the automated email as opposed to the automated password reset)	By forcing a change, we transform a potentially exposed, static credential into a strong, unique, and private password known only to the user, significantly enhancing account security. 	
SysAdmin	System Config & Master Data	Portfolio "View All" Access	Ability to grant "Portfolio level" membership for ASG executives only who need to view everything but edit nothing, wihout doing it 21 times				
SysAdmin	Workflow Administration & Configuration	Workflow Documentation Linking	Need to attach documentation (e.g., PDF of email requests) directly to a workflow and ensure it stays linked to that specific request for auditors.	Critical	JH, JB		
SysAdmin	Workflow Administration & Configuration	Multi-Tenancy / Global Management	Single Point of Failure: The administrator is the only one who creates and manages all workflows. This dependency creates a significant bottleneck and operational risk.​				
SysAdmin	Workflow Administration & Configuration	Workflow Visualizer	Lack of Visualization: Workflows are presented as static text lists. There is no flowchart or diagram view, making it nearly impossible to visualize and debug complex branching logic.				
SysAdmin	Workflow Administration & Configuration	Form Integration	For every step, the administrator must manually select the correct Form Layouts for both Assignees and Approvers. This creates a high cognitive load to keep forms and workflows perfectly synchronized				
SysAdmin	Workflow Administration & Configuration	Task Inbox / My Approvals	Unclear Approval Sequencing: When multiple approvers are listed for a step, the UI does not indicate if the approval process is sequential (one after another) or parallel (all at once). This causes confusion about who is holding up the process.				
SysAdmin	Workflow Administration & Configuration	Task Execution Actions	No Reversibility: The UI is designed for forward progress ("Approve," "Complete"). There is no obvious, standard "Send Back to Previous Step" or "Request Rework" action, which complicates handling errors made in earlier steps.				
SysAdmin	Workflow Administration & Configuration	SLA Monitoring & Alerts	Passive Audit Trail: While a historical log exists, it's purely passive. There are no proactive alerts for at-risk items beyond the basic duration triggers.​				
